"","taxa","rank","trait","size","age","dic.bm","dicw.bm","m.pic.mcmc.bm","v.pic.mcmc.bm","s.var.mcmc.bm","s.anc.mcmc.bm","s.hgt.mcmc.bm","d.ks.mcmc.bm","mv.mcmc.bm","dic.ou","dicw.ou","m.pic.mcmc.ou","v.pic.mcmc.ou","s.var.mcmc.ou","s.anc.mcmc.ou","s.hgt.mcmc.ou","d.ks.mcmc.ou","mv.mcmc.ou","dic.eb","dicw.eb","m.pic.mcmc.eb","v.pic.mcmc.eb","s.var.mcmc.eb","s.anc.mcmc.eb","s.hgt.mcmc.eb","d.ks.mcmc.eb","mv.mcmc.eb"
"254","Onagraceae","family","seedmass",71,62.524005,182.574744949899,1.45702071807988e-06,0.046,0,0.108,0,0.138,0.02,171.048401677508,155.696515502049,0.999997912758889,0.28,0,0.064,0.002,0.506,0.064,55.7402682606182,184.250903824152,6.30220393178635e-07,0.034,0,0.078,0,0.1,0.012,183.004164410643
"255","Melastomataceae","family","seedmass",36,59.843327,96.8546637136214,0.674218240082525,0.178,0.028,0.306,0.898,0.628,0.602,12.2899975055559,107.013568373486,0.0041958734353458,0.722,0,0.052,0.826,0.286,0.138,66.9960215029271,98.3352421252572,0.321585886482129,0.13,0.012,0.206,0.864,0.518,0.51,14.8392397522013
"256","Cleomaceae","family","seedmass",22,65.299791,28.85311515783,0.218027095822364,0.08,0.04,0.626,0.446,0.968,0.796,8.15461314009027,30.1782510390334,0.112398591610659,0.188,0.012,0.628,0.422,0.316,0.826,10.6786407947916,26.6090695413185,0.669574312566977,0.084,0.05,0.786,0.356,0.562,0.778,9.19149906760637
"257","Brassicaceae","family","seedmass",232,60.746363,519.351199513249,4.00283245614916e-17,0,0,0,0,0,0.14,106.474312569589,443.837310800577,1,0.008,0,0.004,0.014,0.482,0.374,49.6180184890233,519.367105344995,3.97112451877577e-17,0,0,0,0,0.002,0.114,106.056660121341
"258","Thymelaeaceae","family","seedmass",23,58.691934,59.4500746525552,0.572843054272873,0.248,0.942,0.63,0.236,0.834,0.284,5.61441164936031,62.2970377262266,0.137982965698183,0.73,0.042,0.438,0.088,0.414,0.842,9.68832878459891,60.8172411793648,0.289173980028944,0.25,0.718,0.912,0.492,0.754,0.264,4.91527895899429
"259","Cistaceae","family","seedmass",21,36.874084,47.0476394947144,0.00298824188765465,0.214,0.05,0.096,0.002,0.158,0.68,26.0752414920167,35.4303581935531,0.995580383997536,0.318,0.336,0.18,0.074,0.584,0.612,7.94146507218625,48.5197401241012,0.00143137411480884,0.158,0.022,0.098,0,0.136,0.952,38.2788925067928
"260","Malvaceae","family","seedmass",173,69.119386,256.078919330319,0.166565838468848,0,0,0.204,0.008,0.194,0.382,41.0829567432936,270.146539038005,0.0001468389022297,0.012,0,0.262,0.036,0,0.1,84.1025154892334,252.858943629681,0.833287322628922,0,0,0.496,0.004,0.652,0.516,44.0045484447055
"261","Anacardiaceae","family","seedmass",55,59.095476,116.214030632712,0.275935701731058,0.068,0.446,0.976,0.448,0.714,0.726,5.45398599017318,129.121394301763,0.000434519715270088,0.426,0,0.114,0.846,0.268,0.968,31.9006945354715,114.28580656836,0.723629778553672,0.042,0.516,0.656,0.438,0.484,0.728,6.60635017693543
"262","Sapindaceae","family","seedmass",143,66.250215,186.881319057414,0.126267198971642,0,0.024,0.17,0.056,0.1,0.002,33.840407661096,200.868040914575,0.000115907752626187,0.004,0,0.836,0.16,0,0.002,72.7166290896147,183.012835749436,0.873616893275732,0,0.022,0.334,0.08,0.374,0.002,39.032322192101
"263","Meliaceae","family","seedmass",44,52.761155,113.412297836471,0.259912246510498,0.362,0.074,0.39,0.17,0.338,0.396,8.52509136932312,111.701101366669,0.611516718881961,0.544,0.126,0.082,0.506,0.046,0.98,9.9087244251274,114.820022857518,0.128571034607541,0.286,0.03,0.28,0.142,0.262,0.634,11.107887958077
"264","Rutaceae","family","seedmass",87,45.473182,168.640100519574,0.4454958484094,0.006,0.002,0.428,0.168,0.234,0.662,30.0823623849869,177.041240335727,0.00667666105048871,0.076,0,0.016,0.224,0.06,0.062,90.857404479511,168.226555497207,0.547827490540111,0.002,0,0.628,0.198,0.57,0.84,27.9188560284694
"265","Zygophyllaceae","family","seedmass",30,72.823657,53.621769603089,0.219679244969734,0.142,0.614,0.4,0.334,0.576,0.602,4.94468562441191,70.6874226850384,4.32543256353185e-05,0.524,0.012,0.014,0.794,0.18,0.09,28.4599173143904,51.0868073601134,0.780277500704631,0.076,0.42,0.994,0.152,0.912,0.75,6.35170230048793
"266","Celastraceae","family","seedmass",53,67.743585,118.640502072855,0.708023870236585,0.086,0.022,0.658,0.184,0.796,0.418,12.5821338416447,154.219384727231,1.33104180273149e-08,0.674,0,0,0.486,0.756,0.008,115.353425697911,120.412113677244,0.291976116452998,0.048,0.034,0.642,0.154,0.942,0.488,13.6787580352037
"267","Boraginaceae","family","SLA",27,55.795211,-8.90954528076335,0.192708790078113,0,0.212,0.6,0.018,0.452,0.474,17.1083769623831,-4.83795060388351,0.0251632060778345,0.004,0.038,0.598,0.028,0.968,0.388,18.8030800596163,-11.7112217311618,0.782128003844053,0,0.15,0.91,0.006,0.978,0.46,17.8223996565188
"268","Alismatales","order","SLA",46,145.130378,-13.2948903278805,0.00143470796053415,0,0.156,0.814,0.586,0.212,0.462,16.4292423387005,10.0589946781474,1.21767618823448e-08,0.002,0,0.02,0.708,0.562,0.384,30.6283710898329,-26.3856067518227,0.998565279862704,0,0.164,0.782,0.726,0.768,0.418,17.6287371558009
"269","Poales","order","SLA",283,90.169528,-5.03691401130693,4.34342532467879e-07,0,0,0.47,0,0.958,0.192,141.780152629388,-34.3357775438495,0.999999397452853,0,0,0.026,0,0.044,0.056,146.145554180399,-3.1396094342444,1.68204614135388e-07,0,0,0.444,0,0.976,0.216,144.370508712684
"270","Saxifragales","order","SLA",32,108.091551,3.89588311652522,0.0781670618564789,0,0.302,0.822,0.2,0.826,1,10.8132570334091,-0.984839761010344,0.897138087315662,0.004,0.804,0.61,0.416,0.466,0.626,8.22738338670205,6.20039031961528,0.0246948508278591,0.002,0.342,0.788,0.198,0.956,0.862,10.4403254197536
"271","Myrtales","order","SLA",64,88.200516,-33.3488369386159,0.563135895420515,0,0.162,0.312,0.906,0.2,0.422,23.8267999487684,10.7910041347478,1.46476686105063e-10,0,0,0.006,0.954,0.37,0.152,104.050492783923,-32.8410393317793,0.436864104433009,0,0.34,0.47,0.824,0.472,0.436,21.8723550827584
"272","Malvales","order","SLA",38,80.999558,-3.75348352268736,0.535578694649441,0,0.678,0.882,0.286,0.852,0.95,10.5912665180588,0.936748233716453,0.051327771288387,0,0.124,0.144,0.344,0.184,0.848,13.5804246611157,-3.23413593767589,0.413093534062172,0,0.604,0.87,0.292,0.888,0.858,10.0865136014933
"273","Malpighiales","order","SLA",103,105.848039,-66.1276477011884,0.429810463193989,0,0.012,0.378,0.21,0.004,0.438,49.5475423446242,-14.4282432663892,2.55207804724488e-12,0,0,0,0.384,0.056,0.022,96.7721734111981,-66.6928966972271,0.570189536803458,0,0.086,0.97,0.134,0.076,0.554,45.663748293516
"274","Fagales","order","SLA",93,82.105493,-82.722443940042,0.0305678994719283,0,0.072,0.712,0.728,0.258,0.458,34.7376216661169,-67.3069037746575,1.3734839276877e-05,0,0,0.11,0.484,0.36,0.332,48.0684093172571,-89.6359356344049,0.969418365688795,0,0.082,0.756,0.706,0.878,0.41,36.1469980708848
"275","Rosales","order","SLA",144,89.277084,-69.1307862302476,0.769058211416944,0,0.046,0.406,0.256,0.512,0.818,47.8736693276922,-60.3179440028273,0.00938155521532422,0,0,0.018,0.324,0.286,0.882,59.8622669293161,-66.6418418747794,0.221560233367731,0,0.048,0.5,0.18,0.598,0.868,50.610986209546
"276","Fabales","order","SLA",134,72.048793,-105.655083422001,0.765950283623124,0,0.04,0.138,0.092,0.226,0.494,53.1965003415056,-91.2552667273518,0.000571900025440647,0,0,0.008,0.128,0.074,0.128,78.4166178206786,-103.279023029858,0.233477816351435,0,0.08,0.184,0.084,0.324,0.56,53.8220476954955
"277","Juncaceae","family","SLA",29,32.557838,3.9256364147874,0.364577652618989,0.002,0.864,0.466,0.27,0.782,0.514,8.15073615929956,8.56514273762439,0.0358371980655474,0.004,0.078,0.172,0.366,0.566,0.56,11.7731001989832,2.93063955323811,0.599585149315463,0,0.86,0.458,0.186,0.874,0.646,8.73601121907727
"278","Caryophyllales","order","SLA",131,89.460937,-46.3802794422542,0.0180629060408302,0,0.04,0.598,0.052,0.298,0.074,52.5010776260764,-54.3575025959272,0.975033688029035,0,0,0.054,0.214,0.208,0.038,65.5926010770573,-44.4565883572348,0.00690340593013507,0,0.052,0.578,0.034,0.408,0.08,52.0691384440117
"279","Ericales","order","SLA",97,92.447878,11.4390030547137,0.735693905740856,0,0.064,0.95,0.152,0.444,0.534,24.7718055605425,47.1963425796671,1.26499712035482e-08,0,0,0.004,0.476,0.978,0.242,81.9295748071959,13.4864156780899,0.264306081609173,0,0.1,0.826,0.124,0.544,0.456,25.6331617428913
"280","Dipsacales","order","SLA",36,91.355928,-3.4516616059127,0.00698337091584883,0,0.338,0.58,0.504,0.634,0.288,12.1551533298069,-4.79450313934278,0.0136665672845158,0,0.638,0.068,0.758,0.432,0.118,18.0730621567968,-13.3383764258596,0.979350061799635,0,0.522,0.466,0.378,0.906,0.35,12.1358124227028
"281","Asterales","order","SLA",216,83.663672,37.1057436762524,1.83771717534371e-16,0,0,0.152,0,0.3,0.854,145.169044719553,-35.3599310279888,1,0,0,0.026,0,0.314,0.606,85.5394569848454,39.4778811205019,5.6127483787421e-17,0,0,0.114,0,0.278,0.788,137.207455269169
"282","Gentianales","order","SLA",65,58.804913,-11.0113748428521,0.0207684755741328,0,0.186,0.978,0.608,0.634,0.944,19.3774120813779,-5.31421490017873,0.00120304551191609,0,0.002,0.072,0.566,0.54,0.168,32.1391608655217,-18.715579941901,0.978028478913951,0,0.138,0.998,0.444,0.958,0.718,20.0662035516788
"283","random","timeslice","SLA",2194,217.632627,-337.914029984761,1.67362043162289e-30,0,0,0.008,0.002,0.08,0.02,698.029016143884,-475.0391571584,1,0,0,0,0.002,0,0.002,828.858597219936,-335.898661808991,6.10977659148984e-31,0,0,0.012,0,0.11,0.026,729.074817472368
"284","random","timeslice","SLA",2193,190.540563,-339.482924338213,5.06087065343945e-30,0,0,0.01,0.002,0.086,0.03,698.885235296645,-474.394952849066,1,0,0,0,0.01,0,0,839.949761484293,-337.421153783903,1.80516726889612e-30,0,0,0.012,0.002,0.1,0.02,689.54602531514
"285","random","timeslice","SLA",35,96.478688,-8.38038871405708,0.622816515935902,0,0.254,0.394,0.408,0.29,0.328,15.1345261743733,3.84528854113279,0.0013790754775568,0.002,0.004,0.274,0.542,0.522,0.422,19.4896730470321,-7.37002243338261,0.375804408586542,0,0.468,0.722,0.31,0.966,0.188,13.7249294053271
"286","random","timeslice","SLA",358,137.533978,28.396255588042,7.49860577947856e-16,0,0,0.1,0,0.41,0.02,233.335500427105,-41.2570331733836,0.999999999999999,0,0,0,0,0.042,0,202.090905706764,30.7303193371287,2.33423737703264e-16,0,0,0.054,0,0.344,0.026,239.577290299011
"287","Salicaceae","family","SLA",37,78.474372,-73.3770042098803,0.386759613575677,0,0.252,0.956,0.268,0.686,0.862,17.2965955311753,-73.9075631844619,0.504255373790263,0,0.23,0.972,0.324,0.91,0.862,18.912459224111,-70.8438182649252,0.10898501263406,0,0.232,0.952,0.418,0.826,0.82,18.2656157069549
"288","random","timeslice","SLA",1754,136.900467,-395.929462680575,1.92307145172556e-17,0,0,0.064,0.104,0.004,0.146,512.419261926405,-472.909508597773,1,0,0,0,0.078,0,0.008,633.632492880962,-393.922156663786,7.04878813919685e-18,0,0,0.048,0.134,0.006,0.162,508.719261017012
"289","random","timeslice","SLA",21,81.543683,-5.23884880679365,0.809440504109711,0.004,0.34,0.362,0.006,0.328,0.47,22.2407829442227,-1.92640414054399,0.154488697791185,0.004,0.04,0.786,0.002,0.756,0.478,22.5975233366569,0.982870497736323,0.0360707980991044,0.002,0.982,0.61,0.406,0.63,0.352,13.1448497307281
"290","random","timeslice","SLA",26,71.218268,-5.84574756109911,0.452484530977177,0,0.19,0.962,0.26,0.412,0.542,11.2077879741762,-0.256157812644812,0.0276592082827231,0.01,0.2,0.148,0.498,0.508,0.684,10.1047019733241,-6.12334511078005,0.5198562607401,0,0.156,0.964,0.128,0.912,0.52,11.7007213805146
"291","random","timeslice","SLA",22,81.396066,-42.5869249769695,0.524178780603139,0,0.5,0.768,0.792,0.55,0.504,11.7850778726234,-41.8081113496439,0.355109430471945,0,0.78,0.616,0.778,0.964,0.364,10.7623719394251,-39.6500709452449,0.120711788924916,0,0.692,0.714,0.73,0.896,0.51,18.8605643059304
"292","random","timeslice","SLA",283,90.169528,-5.07858824973207,3.87174294645086e-07,0,0,0.432,0,0.964,0.178,132.065522474981,-34.6073687916663,0.999999399422733,0,0,0.032,0,0.038,0.06,160.253638249847,-3.88720285298869,2.13402972290583e-07,0,0,0.418,0,0.944,0.186,134.216102422636
"293","random","timeslice","SLA",39,87.653722,11.7833493812198,5.24130879914537e-05,0,0.028,0.5,0.028,0.832,0.874,22.5637043795341,-7.92793286638097,0.999287151002488,0,0.1,0.938,0.2,0.642,0.886,12.7946773272231,6.71586187120284,0.000660435909520447,0,0.012,0.744,0.028,0.724,0.828,26.4432346091657
"294","random","timeslice","SLA",57,81.886174,-37.4018281366764,0.0294677176093402,0,0.872,0.154,0.624,0.654,0.658,19.5839039252244,-34.6127430957963,0.00730641570132032,0,0.442,0.05,0.768,0.45,0.256,22.3772628844113,-44.3758133033378,0.96322586668934,0,0.9,0.146,0.562,0.98,0.684,21.0804046895604
"295","random","timeslice","SLA",64,88.200516,-33.2440750547,0.626013044914665,0,0.14,0.268,0.962,0.192,0.422,23.1377119859812,10.9828639871224,1.55892633801797e-10,0.002,0,0.002,0.92,0.35,0.17,104.170436100658,-32.2137744697672,0.373986954929442,0,0.332,0.446,0.838,0.456,0.53,19.8141221974141
"296","random","timeslice","SLA",93,77.318935,-60.8293101791474,0.0112856534438564,0,0.214,0.814,0.158,0.236,0.986,33.4653791757362,-35.8525808237816,4.25499292652987e-08,0,0,0.12,0.072,0.452,0.39,56.7049251631626,-69.775056387029,0.988714304006214,0,0.202,0.902,0.202,0.716,0.996,34.929537779444
"297","random","timeslice","SLA",38,80.999558,-3.81874834133661,0.561811713533839,0,0.712,0.846,0.294,0.864,0.988,11.1891808040697,0.933676984694055,0.0521932982924439,0.006,0.136,0.15,0.306,0.168,0.894,14.2070013997884,-3.06806358316663,0.385994988173717,0,0.562,0.88,0.19,0.87,0.872,11.4410153433873
"298","Fagaceae","family","SLA",47,40.409993,-47.6517684676694,0.33034933844352,0,0.776,0.74,0.496,0.74,0.75,16.7643684037538,-48.7609193250899,0.57520478463971,0,0.542,0.65,0.562,0.678,0.864,16.8682429291758,-45.1475209546812,0.0944458769167701,0,0.736,0.812,0.444,0.816,0.686,17.4452462918077
"299","random","timeslice","SLA",54,70.94074,-41.7448871436598,0.17767533081751,0,0.378,0.34,0.648,0.424,0.216,21.4460200682151,-35.2872990323399,0.00703687264546862,0,0.89,0.07,0.592,0.89,0.256,21.72699261283,-44.7920536933722,0.815287796537022,0,0.382,0.272,0.618,0.792,0.27,21.1551541020849
"300","random","timeslice","SLA",37,78.474372,-73.3271089537017,0.374607839326565,0,0.252,0.944,0.32,0.698,0.836,17.5213250557301,-73.9323258627719,0.506988424271697,0,0.266,0.988,0.34,0.99,0.854,18.5113388308231,-71.0235500785315,0.118403736401738,0,0.24,0.99,0.424,0.862,0.718,18.2510533172534
"301","random","timeslice","SLA",25,70.964635,-10.3257863741309,0.318550509391002,0,0.716,0.564,0.824,0.714,0.572,7.81341726496057,-11.482479313168,0.568003463930962,0,0.648,0.834,0.974,0.504,0.478,7.34302572278681,-8.26087865470709,0.113446026678036,0,0.632,0.984,0.458,0.7,0.226,10.0686957006254
"302","random","timeslice","SLA",93,82.105493,-82.6266991032714,0.0657490786565615,0,0.044,0.744,0.71,0.242,0.47,34.5416063407502,-67.3675696506389,3.19456560530015e-05,0,0,0.14,0.478,0.356,0.29,51.0808034423424,-87.9344295071959,0.934218975687386,0,0.084,0.738,0.736,0.962,0.464,36.9715097718226
"303","random","timeslice","SLA",144,89.277084,-68.9974861175656,0.760556220026067,0,0.036,0.44,0.246,0.498,0.816,48.6375146709751,-60.2768090237931,0.00971539253604414,0,0,0.02,0.406,0.266,0.874,60.5978333182881,-66.6031814232637,0.229728387437889,0,0.04,0.444,0.206,0.628,0.838,47.0115418484147
"304","random","timeslice","SLA",134,72.048793,-105.559977690231,0.759231164841337,0,0.034,0.136,0.106,0.226,0.542,51.0704600703427,-91.3916251692744,0.000636436923773249,0,0,0.006,0.136,0.084,0.126,77.5776769529456,-103.257745959256,0.24013239823489,0,0.052,0.174,0.116,0.334,0.556,48.5283084190249
"305","random","timeslice","SLA",131,89.460937,-46.3987037923418,0.0180382021563086,0,0.04,0.592,0.054,0.306,0.076,47.9959316642044,-54.3796846599978,0.975531338140244,0,0.002,0.054,0.192,0.208,0.038,66.5114634004349,-44.3358121489511,0.00643045970344698,0,0.046,0.548,0.038,0.396,0.096,49.0999662117067
"306","random","timeslice","SLA",97,92.447878,11.46609373434,0.739737986071226,0,0.052,0.936,0.178,0.404,0.564,29.3125953692526,47.7801419424729,9.62903010282926e-09,0,0,0,0.478,0.924,0.25,80.8178840061602,13.5553081706598,0.260262004299744,0,0.078,0.838,0.132,0.53,0.49,27.2492604004806
"307","random","timeslice","SLA",36,91.355928,-3.35265133445492,0.00892209353867206,0,0.354,0.554,0.56,0.652,0.314,11.6385515385417,-4.7658760026566,0.018086086749367,0,0.634,0.066,0.658,0.42,0.14,15.4181708538524,-12.7363414427895,0.972991819711961,0,0.468,0.49,0.428,0.934,0.352,11.730668813117
"308","random","timeslice","SLA",60,81.066147,-6.39129490607952,0.238897053032538,0,0.2,0.932,0.964,0.816,0.53,18.3666752107848,-8.39422260500305,0.65034082274085,0,0.832,0.334,0.812,0.916,0.592,14.1027466676012,-4.85399922223215,0.110762124226612,0,0.22,0.924,0.902,0.688,0.524,17.4460843989341
"309","Betulaceae","family","SLA",27,27.279622,-41.91906411628,0.442623000452028,0,0.586,0.806,0.796,0.706,0.912,11.9563320308428,-41.799335993422,0.416903312963102,0,0.71,0.746,0.782,0.696,0.952,11.6795132027597,-39.62366770467,0.140473686584869,0,0.774,0.718,0.66,0.946,0.906,10.618920830431
"310","random","timeslice","SLA",216,83.663672,37.1966385594035,1.80526923682248e-16,0,0,0.124,0,0.338,0.894,143.775965347945,-35.3046649317343,1,0,0,0.008,0,0.356,0.53,92.942438227036,39.5712362713712,5.506867663235e-17,0,0,0.118,0,0.266,0.82,140.536814610993
"311","random","timeslice","SLA",285,79.136665,-21.9542492576764,0.000777501293979367,0,0.016,0.484,0.162,0.614,0.122,84.6945830888014,-36.2710696145783,0.998985443831289,0,0,0.004,0.176,0.016,0.086,100.536568119067,-19.5786619475823,0.000237054874731855,0,0.02,0.524,0.18,0.64,0.11,75.2847013261653
"312","random","timeslice","SLA",29,32.557838,3.92769884396278,0.528489314895886,0.004,0.89,0.464,0.236,0.822,0.45,8.2726482993412,8.54597695360364,0.0525036941818966,0.006,0.074,0.148,0.344,0.57,0.6,11.395171620779,4.39196880946364,0.419006990922217,0,0.868,0.426,0.176,0.838,0.666,9.15208361736369
"313","random","timeslice","SLA",96,29.681503,-49.5240127441747,0.0130875991595974,0,0.01,0.95,0.598,0.286,0.746,37.8657650727099,-39.3468214982315,8.07069593489256e-05,0,0,0.314,0.778,0.05,0.406,54.3176044071719,-58.1696814424616,0.986831693881054,0,0.02,0.942,0.846,0.678,0.84,36.0787875638882
"314","random","timeslice","SLA",153,19.128619,1.43555180516189,2.78740156692304e-10,0,0,0.194,0,0.406,0.166,105.725271314784,-42.5659304060183,0.999999999497759,0,0,0.142,0.002,0.412,0.448,75.0901348504309,1.87728504582914,2.23500441513283e-10,0,0,0.134,0,0.35,0.166,111.102942547265
"315","random","timeslice","SLA",23,19.857926,-15.6232560586403,0.111091441943792,0,0.044,0.79,0.21,0.858,0.122,17.5302435774436,-19.5445069856685,0.789167921909572,0,0.036,0.884,0.256,0.782,0.122,17.5114656627396,-15.4076950879948,0.0997406361466367,0,0.032,0.8,0.18,0.808,0.096,20.3801521786232
"316","random","timeslice","SLA",47,40.425031,-33.6290904063774,0.429051428662586,0,0.884,0.206,0.77,0.314,0.602,17.334160281399,-26.5953189066197,0.0127392915744454,0,0.328,0.044,0.818,0.398,0.428,19.3962877056744,-34.1554047130369,0.558209279762969,0,0.78,0.298,0.8,0.474,0.68,16.8839014730155
"317","random","timeslice","SLA",82,34.754919,-59.5668652442807,0.00881779328725136,0,0.114,0.928,0.54,0.81,0.842,31.1553231739535,-66.1657337903783,0.238938433319863,0,0.034,0.594,0.568,0.97,0.93,29.8989166250314,-68.4594428315593,0.752243773392885,0,0.084,0.866,0.446,0.908,0.954,31.7781691688007
"318","random","timeslice","SLA",34,33.640182,-70.0891929218984,0.22481392453473,0,0.118,0.846,0.194,0.81,0.928,19.3629916023678,-70.3249485353078,0.252939635320107,0,0.116,0.826,0.172,0.994,0.926,18.9418972856019,-71.7749259740004,0.522246440145163,0,0.106,0.864,0.15,0.904,0.928,20.2493207495771
"319","random","timeslice","SLA",47,40.409993,-47.6949115148189,0.330600625340601,0,0.766,0.838,0.532,0.748,0.768,17.9632678446575,-48.8198784905569,0.580212586472652,0,0.536,0.656,0.538,0.604,0.916,16.109405070044,-45.0745551892191,0.0891867881867469,0,0.8,0.762,0.41,0.808,0.762,20.8734092011012
"320","Rosaceae","family","SLA",96,82.294049,-38.2339809652992,0.000613540079347736,0,0.582,0.834,0.008,0.838,0.484,37.4937941278564,-53.0249271593079,0.999208443513584,0,0.208,0.298,0.08,0.354,0.396,35.2937496171824,-35.7592412244202,0.000178016407068737,0,0.508,0.874,0.01,0.788,0.512,38.5959430625076
"321","random","timeslice","SLA",28,40.509863,-25.837410579519,0.0173779487984519,0,0.016,0.794,0.062,0.112,0.76,27.9211391820595,-15.513691710417,9.95936030876992e-05,0,0.002,0.61,0.61,0.526,0.442,29.7952626202476,-33.9072527975571,0.98252245759846,0,0.88,0.676,0.496,0.5,0.712,17.7136582375951
"322","random","timeslice","SLA",21,42.552445,-24.498917447818,0.763929290632031,0,0.514,0.428,0.206,0.476,0.326,11.721310568653,-21.8270299024311,0.20084459717872,0,0.232,0.28,0.19,0.556,0.37,12.5465005992248,-18.3455422434032,0.0352261121892494,0,0.37,0.49,0.08,0.884,0.466,12.9928327276601
"323","random","timeslice","SLA",28,39.129595,-6.51345263058903,0.0192134906079488,0,0.414,0.862,0.052,0.932,0.252,14.2018670902788,-14.3700049297866,0.976416090434599,0,0.458,0.898,0.096,0.908,0.214,12.8537015792653,-3.55194504589172,0.00437041895745259,0,0.528,0.838,0.034,0.818,0.23,15.5918548799719
"324","random","timeslice","SLA",79,41.735588,-101.552465635966,0.744716944621993,0,0.698,0.404,0.094,0.41,0.484,34.7645464602279,-93.7821302489331,0.0152997503697514,0,0.77,0.224,0.19,0.698,0.59,30.8271056716038,-99.2875959407212,0.239983305008256,0,0.89,0.474,0.102,0.898,0.624,34.5454876683839
"325","random","timeslice","SLA",22,35.343769,-13.6521004753837,0.0489922479140333,0,0.994,0.944,0.118,0.714,0.308,10.653866725411,-19.5538698582212,0.936872097866084,0,0.958,0.974,0.178,0.718,0.294,9.54614553312634,-11.1661768633846,0.0141356542198824,0,0.942,0.676,0.1,0.71,0.314,10.3807242199861
"326","random","timeslice","SLA",60,35.531689,-57.6710437992479,0.451806504461308,0,0.68,0.52,0.322,0.382,0.188,26.0105315841089,-50.2437965548904,0.0110191027308058,0,0.08,0.16,0.4,0.534,0.124,25.8160307325965,-58.0171813890845,0.537174392807886,0,0.834,0.644,0.386,0.556,0.238,26.119496448809
"327","random","timeslice","SLA",33,38.449257,12.5223545067609,5.12377564909897e-05,0,0.004,0.608,0.004,0.828,0.116,39.2095973695632,-7.23557278093121,0.999929780088459,0,0.018,0.532,0.014,0.458,0.072,28.9237490579811,14.5083092303495,1.89821550501377e-05,0,0.006,0.556,0,0.772,0.12,51.6023713266626
"328","random","timeslice","SLA",25,35.041548,3.53800908114574,0.0948406857694553,0.006,0.35,0.342,0.408,0.736,0.03,11.6754574527061,1.8911823042575,0.216072042122147,0.002,0.376,0.846,0.764,0.464,0.05,10.7432115072491,-0.428329790666375,0.689087272108398,0,0.56,0.796,0.256,0.852,0.044,11.4355768914088
"329","random","timeslice","SLA",47,35.32008,-10.2349196147105,0.023395418482843,0,0.082,0.592,0.024,0.754,0.238,24.1937528872768,-17.1516979538838,0.743173389419741,0,0.056,0.856,0.048,0.932,0.398,19.6549610134291,-14.8356138972997,0.233431192097416,0,0.16,0.624,0.016,0.96,0.29,21.639169666158
"330","random","timeslice","SLA",196,40.862851,25.2756319807463,2.04907924548494e-15,0,0,0.178,0,0.302,0.8,151.377387967491,-42.3671397216572,0.999999999999997,0,0,0.064,0,0.394,0.718,89.6995604608754,27.4306652799906,6.97588350508072e-16,0,0,0.182,0,0.362,0.78,156.268037488404
"331","Fabaceae","family","SLA",128,69.14253,-97.9756458779444,0.752540525317753,0,0.064,0.146,0.142,0.29,0.434,48.3062007433187,-84.659893649158,0.000966164407668352,0,0,0.006,0.194,0.076,0.096,71.1979513796154,-95.7434058876507,0.246493310274579,0,0.054,0.202,0.134,0.47,0.434,45.7027446901023
"332","random","timeslice","SLA",24,22.082575,-19.5433886974787,0.227721262437541,0,0.868,0.986,0.054,0.894,0.236,13.0577221617235,-21.8102442202571,0.707367341864594,0,0.842,0.742,0.046,0.828,0.246,13.0574343510932,-17.033190395436,0.0649113956978656,0,0.69,0.912,0.03,0.992,0.224,15.9320947830174
"333","random","timeslice","SLA",29,32.597782,-11.423051927265,0.776804751657458,0,0.016,0.644,0.98,0.598,0.556,16.12667455288,-0.454621272371148,0.00322513144151227,0.006,0,0.264,0.908,0.814,0.208,31.1477886513235,-8.89965726913719,0.21997011690103,0,0.074,0.884,0.852,0.732,0.86,14.0522253512722
"334","random","timeslice","SLA",155,42.760954,-12.4914569331111,0.203106009600292,0,0.16,0.462,0.022,0.422,0.242,52.5440385978003,-15.0620672286041,0.734384846513741,0,0.002,0.008,0.126,0.044,0.172,56.0882364132626,-10.1346265145148,0.0625091438859671,0,0.156,0.434,0.022,0.56,0.222,47.3786678650721
"335","Amaranthaceae","family","SLA",33,38.449257,12.5723161570401,4.78077904297214e-05,0,0.004,0.574,0,0.866,0.072,46.566803695075,-7.32419770792557,0.999934982551218,0,0.01,0.504,0.01,0.464,0.072,29.2187371767514,14.6157518521935,1.72096583525157e-05,0,0.006,0.614,0.002,0.808,0.096,45.5978819734762
"336","Primulaceae","family","SLA",27,54.039848,4.78969520638545,0.0165774674568441,0.006,0.28,0.456,0.476,0.92,0.07,10.2621171176795,1.4451421605838,0.0882629929673356,0.006,0.32,0.848,0.732,0.474,0.056,10.2112951414975,-3.18821992907712,0.89515953957582,0,0.292,0.988,0.498,0.702,0.076,11.0895959586297
"337","Asteraceae","family","SLA",198,45.743702,27.4185953697128,9.7644597762394e-15,0,0,0.208,0,0.506,0.776,135.579723232977,-37.1014589394194,0.999999999999988,0,0,0.026,0,0.308,0.606,83.3443601337857,29.9315661622787,2.7794799561256e-15,0,0.002,0.174,0,0.478,0.662,139.295394854082
